image_id,ceramic_type,where_held,museum_no,source,page
AM01,plate,Ashmolean_Oxford,no_EAX.3275,web,http://jameelcentre.ashmolean.org/collection/8/per_page/25/offset/0/sort_by/date/object/10959
AM02,tile,Ashmolean_Oxford,no_EAX.3215,web,http://jameelcentre.ashmolean.org/collection/8/sort_by/date/sort_order/asc/per_page/25/offset/0/object/10907
AM03,plate,Ashmolean_Oxford,no_EAX.3247,web,http://jameelcentre.ashmolean.org/collection/8/sort_by/date/sort_order/asc/per_page/25/offset/0/object/20697
AM04,plate,Ashmolean_Oxford,no_EAX.3250,web,http://jameelcentre.ashmolean.org/collection/8/sort_by/date/sort_order/asc/per_page/25/offset/0/object/20698
AM05,plate,Ashmolean_Oxford,,web,http://jameelcentre.ashmolean.org/collection/8/sort_by/date/sort_order/asc/per_page/25/offset/0/object/20698
AM06,tile,Ashmolean_Oxford,no_EAX.3216,web,http://jameelcentre.ashmolean.org/collection/8/sort_by/date/sort_order/asc/per_page/25/offset/0/object/20674
AM07,plate,Ashmolean_Oxford,no_EAX.3277,web,http://jameelcentre.ashmolean.org/collection/8/sort_by/date/sort_order/asc/per_page/25/offset/0/object/10961
AM09,plate,Ashmolean_Oxford,no_EA1986.50,web,http://jameelcentre.ashmolean.org/collection/8/sort_by/date/sort_order/asc/per_page/25/offset/0/object/10886
BEN01_1,tile,Benaki_Athens,no_109,web,https://www.benaki.gr/index.php?option=com_collectionitems&view=collectionitem&id=117040&Itemid=0&lang=en
BEN01_2,tile,Benaki_Athens,no_109,web,https://www.benaki.gr/index.php?option=com_collectionitems&view=collectionitem&id=117040&Itemid=0&lang=en
BEN03,plate,Benaki_Athens,no_5,web,https://www.benaki.gr/index.php?option=com_collectionitems&view=collectionitem&id=117105&lang=en&lang=el
BEN04,plate,Benaki_Athens,no_2,web,https://www.benaki.gr/index.php?option=com_collectionitems&view=collectionitem&id=117034&Itemid=0&lang=en
BEN05,plate,Benaki_Athens,no_4,web,https://www.benaki.gr/index.php?option=com_collectionitems&view=collectionitem&id=117103&Itemid=0&lang=en
BEN06,tile,Benaki_Athens,no_GE75,web,https://www.benaki.gr/index.php?option=com_collectionitems&view=collectionitem&id=117073&Itemid=&lang=en
BEN07_1,tile,Benaki_Athens,NA,direct,
BEN07_2,tile,Benaki_Athens,NA,direct,
BEN08_1,tile,Benaki_Athens,NA,direct,
BEN08_2,tile,Benaki_Athens,NA,direct,
BEN08_3,tile,Benaki_Athens,NA,direct,
BEN09,tile,Benaki_Athens,NA,direct,
BEN11_1,tile,Benaki_Athens,NA,direct,
BEN11_2,tile,Benaki_Athens,NA,direct,
BEN11_3,tile,Benaki_Athens,NA,direct,
BEN11_4,tile,Benaki_Athens,NA,direct,
BEN17,tile,Benaki_Athens,NA,direct,
BM05,tile,BM_London,"no_1887,0617.33",web,http://www.britishmuseum.org/research/collection_online/collection_object_details.aspx?objectId=238992&partId=1&school=8148&page=1
BM11,tile,BM_London,"no_1895,0603.15",web,http://www.britishmuseum.org/research/collection_online/collection_object_details.aspx?objectId=238459&partId=1&school=8148&page=1
BM12,tile,BM_London,"no_1887,0617.3",web,http://www.britishmuseum.org/research/collection_online/collection_object_details.aspx?objectId=238995&partId=1&school=8148&page=1
BM13,tile,BM_London,no_OA+.10659.1-2,web,http://www.britishmuseum.org/research/collection_online/collection_object_details.aspx?objectId=241605&partId=1&school=8148&page=1
BM14,tile,BM_London,no_OA+.10658,web,http://www.britishmuseum.org/research/collection_online/collection_object_details.aspx?objectId=241606&partId=1&school=8148&page=1
BM15,tile,BM_London,"no_1878,1230.53",web,http://www.britishmuseum.org/research/collection_online/collection_object_details.aspx?objectId=239205&partId=1&school=8148&page=1
BM16,jug,BM_London,"no_1878,1230.514",web,http://www.britishmuseum.org/research/collection_online/collection_object_details.aspx?objectId=239218&partId=1&school=8148&page=1
BM17,plate,BM_London,"no_1887,0211.3",web,http://www.britishmuseum.org/research/collection_online/collection_object_details.aspx?objectId=239022&partId=1&school=8148&page=1
BM18,tile,BM_London,no_OA+.14401,web,http://www.britishmuseum.org/research/collection_online/collection_object_details.aspx?objectId=235907&partId=1&school=8148&page=1
